y,ds
398,01/01/2011
444,01/01/2012
372,01/01/2013
452,01/01/2014
378,01/01/2015
452,01/01/2016
233,01/02/2011
244,01/02/2012
255,01/02/2013
327,01/02/2014
338,01/02/2015
331,01/02/2016
263,01/03/2011
285,01/03/2012
295,01/03/2013
305,01/03/2014
317,01/03/2015
336,01/03/2016
253,01/04/2011
272,01/04/2012
280,01/04/2013
318,01/04/2014
281,01/04/2015
309,01/04/2016
251,01/05/2011
263,01/05/2012
260,01/05/2013
301,01/05/2014
329,01/05/2015
392,01/05/2016
260,01/06/2011
277,01/06/2012
286,01/06/2013
335,01/06/2014
348,01/06/2015
415,01/06/2016
262,01/07/2011
227,01/07/2012
283,01/07/2013
266,01/07/2014
357,01/07/2015
309,01/07/2016
266,01/08/2011
291,01/08/2012
252,01/08/2013
314,01/08/2014
339,01/08/2015
358,01/08/2016
233,01/09/2011
275,01/09/2012
291,01/09/2013
293,01/09/2014
382,01/09/2015
299,01/09/2016
244,01/10/2011
278,01/10/2012
279,01/10/2013
312,01/10/2014
316,01/10/2015
353,01/10/2016
250,01/11/2011
293,01/11/2012
317,01/11/2013
297,01/11/2014
314,01/11/2015
372,01/11/2016
227,01/12/2011
274,01/12/2012
328,01/12/2013
307,01/12/2014
359,01/12/2015
358,01/12/2016
255,01/13/2011
260,01/13/2012
271,01/13/2013
291,01/13/2014
292,01/13/2015
306,01/13/2016
253,01/14/2011
276,01/14/2012
282,01/14/2013
234,01/14/2014
295,01/14/2015
400,01/14/2016
261,01/15/2011
293,01/15/2012
290,01/15/2013
264,01/15/2014
329,01/15/2015
369,01/15/2016
238,01/16/2011
262,01/16/2012
265,01/16/2013
264,01/16/2014
354,01/16/2015
360,01/16/2016
221,01/17/2011
246,01/17/2012
293,01/17/2013
289,01/17/2014
299,01/17/2015
364,01/17/2016
247,01/18/2011
246,01/18/2012
270,01/18/2013
309,01/18/2014
320,01/18/2015
329,01/18/2016
237,01/19/2011
250,01/19/2012
298,01/19/2013
297,01/19/2014
259,01/19/2015
337,01/19/2016
229,01/20/2011
290,01/20/2012
257,01/20/2013
286,01/20/2014
303,01/20/2015
362,01/20/2016
247,01/21/2011
266,01/21/2012
254,01/21/2013
290,01/21/2014
309,01/21/2015
351,01/21/2016
238,01/22/2011
268,01/22/2012
261,01/22/2013
265,01/22/2014
274,01/22/2015
432,01/22/2016
224,01/23/2011
251,01/23/2012
